name,continue_drop,student_id,gender, grade,class,Chinese_marks,english_marks,math_marks
骆柔,1,2000001,0,1,1,95.37,51.4,40.9
郭嫣锦,1,2000002,1,1,1,98.07,51.2,29
谢姣珍,1,2000003,1,1,1,92.41,66.6,60.2
花士,1,2000004,1,1,1,91.91,52.6,37.8
庞霭,1,2000005,0,1,1,99.93,61.4,53.6
尤芳育,1,2000006,0,1,1,96.5,51.9,59.4
卜言,1,2000007,1,1,1,92.6,52.5,17.7
宋瑶艳,1,2000008,1,1,1,91.7,45.7,48
岑梁雅,1,2000009,1,1,1,98.61,72.8,82.1
毛淇梦,1,2000010,0,1,1,93.76,32.2,41.8
祁伯德,1,2000011,1,1,1,90.31,66.4,75.7
孟朋,1,2000012,1,1,1,90.46,56.6,13.3
皮亨宜,1,2000013,0,1,1,94.63,49.5,56.6
熊寒媛,1,2000014,0,1,1,94.25,59.8,41.3
夏希珍,1,2000015,0,1,1,95.34,52.4,46.1
李钧露,1,2000016,0,1,1,99.94,67.2,74.2
祝岚丹,0,2000017,0,1,1,98.44,52.3,50.3
吕毓颖,1,2000018,0,1,1,92.11,40.8,32
柳亮函,1,2000019,1,1,1,90.39,48.5,30.6
麻腾允,1,2000020,0,1,1,91.55,50.7,10.7
顾香夕,1,2000021,1,1,1,95.01,42.6,38
刁洁皑,1,2000022,0,1,1,96.93,66.9,74.6
谈泰沫,0,2000023,0,1,1,98.08,75.8,68.1
廉泰晨,1,2000024,0,1,1,99.13,61.5,89.5
计悦夕,1,2000025,1,1,1,92.13,75.9,13.2
姜育希,1,2000026,0,1,1,96.92,46,45.6
项炎,1,2000027,0,1,1,97.85,57.4,44.4
乐亚,1,2000028,0,1,1,91.36,55.6,30.4
昝莲仪,1,2000029,0,1,1,96.88,70.3,36.2
张媛策,1,2000030,1,1,1,91.28,66.3,51.9
傅德,1,2000031,0,1,1,94.99,70.1,77.9
贾洁倩,1,2000032,1,1,1,97.68,55.8,56.7
项美瑗,1,2000033,0,1,1,97.33,53.3,39.1
高妤朋,1,2000034,0,1,1,95.45,37.3,35.5
陈雪妹,1,2000035,1,1,1,97.04,61.1,38
岑英翰,1,2000036,0,1,1,96.81,47.4,30.4
